group_id,group_name
1,Group_A
2,Group_B
3,Group_C
4,Group_D
5,Group_E
6,Group_F
7,Group_G
8,Group_H
9,Group_I
10,Group_J
11,Group_K
12,Group_L
13,Group_M
14,Group_N
15,Group_O
16,Group_P
17,Group_Q
18,Group_R
19,Group_S
20,Group_T
21,Group_U
22,Group_V
23,Group_W
24,Group_X
25,Group_Y
26,Group_Z
27,Group_AA
28,Group_AB
29,Group_AC
30,Group_AD
31,Group_AE
32,Group_AF
33,Group_AG
34,Group_AH
35,Group_AI
36,Group_AJ
37,Group_AK
38,Group_AL
39,Group_AM
40,Group_AN
41,Group_AO
42,Group_AP
43,Group_AQ
44,Group_AR
45,Group_AS
46,Group_AT
47,Group_AU
48,Group_AV
49,Group_AW
50,Group_AX
51,Group_AY
52,Group_AZ
53,Group_BA
54,Group_BB
55,Group_BC
56,Group_BD
57,Group_BE
58,Group_BF
59,Group_BG
60,Group_BH
61,Group_BI
62,Group_BJ
63,Group_BK
64,Group_BL
65,Group_BM
66,Group_BN
67,Group_BO
68,Group_BP
69,Group_BQ
70,Group_BR
71,Group_BS
72,Group_BT
73,Group_BU
74,Group_BV
75,Group_BW
76,Group_BX
77,Group_BY
78,Group_BZ
79,Group_CA
80,Group_CB
81,Group_CC
82,Group_CD
83,Group_CE
84,Group_CF
85,Group_CG
86,Group_CH
87,Group_CI
88,Group_CJ
89,Group_CK
90,Group_CL
91,Group_CM
92,Group_CN
93,Group_CO
94,Group_CP
95,Group_CQ
96,Group_CR
97,Group_CS
98,Group_CT
99,Group_CU
100,Group_CV
101,Group_CW
102,Group_CX
103,Group_CY
104,Group_CZ